bin,trips,share
0.0,6105051,0.7187467540408029
0.25,28566934,3.363180927628262
0.5,79781578,9.39267341415381
0.75,84259360,9.919842028765274
1.0,95654260,11.261361925588337
1.25,71332109,8.39791867465722
1.5,71618828,8.431674060250531
1.75,50462623,5.940957165080974
2.0,48637716,5.726111133053339
2.25,33714755,3.9692331349125385
2.5,32771194,3.8581478375105194
2.75,23134462,2.723616800085749
3.0,22755562,2.6790089589545185
3.25,16370360,1.927280068991954
3.5,16380661,1.9284928042030727
3.75,11778464,1.3866768299865884
4.0,11942517,1.405990765486989
4.25,8814921,1.0377793495707257
4.5,9198240,1.082907438920375
4.75,7016079,0.8260019461498097
5.0,7494351,0.8823088381886482
5.25,5693214,0.6702612447561299
5.5,5966318,0.7024137384069707
5.75,4565384,0.5374819851545576
6.0,4897271,0.5765549927278506
6.25,3822911,0.45007074834213173
6.5,4107391,0.4835625367955824
6.75,3216159,0.37863792484765724
7.0,3455944,0.4068677775413814
7.25,2725519,0.3208749499924792
7.5,3038836,0.35776171420391695
7.75,2490048,0.29315298388265604
8.0,2928943,0.34482402751762947
8.25,2518155,0.2964620168482815
8.5,3058037,0.3600222451027313
8.75,2698468,0.31769023975114663
9.0,3157030,0.3716766763962227
9.25,2664199,0.3136557554341074
9.5,3006798,0.353989885187917
9.75,2488912,0.29301924277015917
10.0,2770543,0.3261756188736946
10.25,2261287,0.26622098508344405
10.5,2469456,0.29072869075894453
10.75,1953838,0.23002505964677022
11.0,2090944,0.24616652881050338
11.25,1665334,0.19605952626665799
11.5,1761166,0.20734181349623854
11.75,1342694,0.15807516663989568
12.0,1385162,0.16307491801799306
12.25,1024353,0.12059692764924627
12.5,1031355,0.12142127207680202
12.75,777668,0.09155473897292637
13.0,817162,0.09620436176953978
13.25,639987,0.0753455751439769
13.5,699919,0.08240136066700912
13.75,568242,0.06689904687277042
14.0,635287,0.07479224483699146
14.25,530767,0.06248712064845565
14.5,621249,0.07313955316689325
14.75,531299,0.0625497529300123
15.0,638699,0.07519393909389238
15.25,582996,0.06863603311729449
15.5,726029,0.08547528711709207
15.75,679793,0.08003192965458593
16.0,897979,0.1057189352630807
16.25,888157,0.10456259265133369
16.5,1227967,0.14456837384638105
16.75,1256994,0.14798571827635262
17.0,1678798,0.1976446410013924
17.25,1608053,0.18931584258273604
17.5,1924404,0.22655979916681077
17.75,1638740,0.19292861856794075
18.0,1749234,0.2059370608956108
18.25,1363304,0.16050157890095312
18.5,1353187,0.1593105059827038
18.75,1023305,0.12047354676377378
19.0,297323,0.03500379294975155
