pickup_hour,weekend,trips,mph,share
0,False,15551606,21.56019741366049,2.5079905600533507
1,False,9190547,22.757467676924744,1.4821495038986099
2,False,5711285,22.42103803229066,0.9210527109402271
3,False,3796227,23.18606166489121,0.6122133932546678
4,False,3626535,25.47767833502441,0.5848473492514585
5,False,5847416,23.80246222330927,0.9430064090297121
6,False,15051110,17.95328523583095,2.4272761152979694
7,False,26374281,13.975446046735264,4.253351568718655
8,False,32013384,11.586959245904783,5.162763567143032
9,False,31107090,11.416313995984117,5.016606520942595
10,False,29377075,11.530287391055134,4.7376088863091885
11,False,29958628,11.247346082009651,4.831395305163338
12,False,31421453,11.45919463862424,5.067303499533105
13,False,31608462,11.807151218999774,5.097462237263795
14,False,33881391,11.755969060090855,5.464015021308832
15,False,33319056,11.94649975194023,5.373327868381501
16,False,30381454,12.556694191778304,4.899583993620666
17,False,35566434,12.069959666171998,5.735760070487932
18,False,40900709,12.31029131983471,6.596012789385812
19,False,39837346,13.581365461348451,6.424525396642579
20,False,37093663,14.781381049939263,5.982054627785726
21,False,36837859,15.503414158597934,5.940801395339901
22,False,34140289,16.224899760685602,5.505767219764522
23,False,27489018,17.743560521281104,4.433123990482825
0,True,12848411,16.278427338378492,5.3958914918412235
1,True,11028999,17.063504207996502,4.631800918232252
2,True,8729372,18.177640913981364,3.666036531981816
3,True,6468834,19.587164208570407,2.716688183677595
4,True,4051612,22.979548215423836,1.7015379348498272
5,True,2013757,28.154895602694342,0.8457088011066667
6,True,2537580,25.73685922828638,1.0656964765422319
7,True,3681796,22.592634012028373,1.5462279118480138
8,True,5572956,18.93901326578967,2.340450182112442
9,True,8119461,16.528751621449256,3.4098948522301034
10,True,10401936,15.148389232881962,4.3684559873650475
11,True,11875969,14.146898813449463,4.987499238969717
12,True,12940548,13.584612849748906,5.434585868475328
13,True,13165600,13.499100212469493,5.529099981700836
14,True,13089279,13.519060080761173,5.497047782051493
15,True,12999933,13.922948417074993,5.459525529593189
16,True,12486551,13.998455656763824,5.2439227156837935
17,True,13225652,13.993213338539503,5.554319759918395
18,True,13981506,13.752777704730848,5.87175248896747
19,True,13464242,13.968341862048131,5.654519368339888
20,True,11848531,14.95873250876463,4.975976221006395
21,True,11548964,15.650805125855104,4.850168366125632
22,True,11488867,16.14667344529288,4.824929689453071
23,True,10544347,17.15514628219091,4.428263717927574
