pickup_hour,trips,rev_per_veh_hour
0,28277393,71.77804523289474
1,20119514,67.11693512401993
2,14360696,70.33082210611894
3,10197506,71.14730803467694
4,7615093,78.95379689743024
5,7796371,88.3502416491896
6,17499303,75.36027197535934
7,29950283,66.63078910360726
8,37473394,63.18030882456871
9,39107149,63.47411939367476
10,39660156,63.536459674212686
11,41712052,62.70962588455274
12,44227281,62.5196694929423
13,44630114,62.77834630950868
14,46814412,61.57263386277094
15,46151873,60.28670698193232
16,42698909,64.14194464966457
17,48630641,64.0346963626004
18,54717864,65.84089022863576
19,53143276,69.36605043386916
20,48798994,71.66704213571064
21,48249163,71.90243917185026
22,45494540,71.83994685009502
23,37900155,72.70076351786844
