pickup_year,pickup_month,trips,date
2014,6,13717595,2014-06-01
2014,7,13014522,2014-07-01
2014,8,12614915,2014-08-01
2014,9,13336641,2014-09-01
2014,10,14224018,2014-10-01
2014,11,13217679,2014-11-01
2014,12,13022956,2014-12-01
2015,1,12655368,2015-01-01
2015,2,12357234,2015-02-01
2015,3,13247506,2015-03-01
2015,4,12974188,2015-04-01
2015,5,13067286,2015-05-01
2015,6,12241599,2015-06-01
2015,7,11482613,2015-07-01
2015,8,11049565,2015-08-01
2015,9,11141612,2015-09-01
2015,10,12226093,2015-10-01
2015,11,11229289,2015-11-01
2015,12,11378242,2015-12-01
2016,1,10836352,2016-01-01
2016,2,11306631,2016-02-01
2016,3,12131372,2016-03-01
2016,4,11848598,2016-04-01
2016,5,11757432,2016-05-01
2016,6,11059050,2016-06-01
2016,7,10225651,2016-07-01
2016,8,9876529,2016-08-01
2016,9,10047736,2016-09-01
2016,10,10783027,2016-10-01
2016,11,10033254,2016-11-01
2016,12,10376009,2016-12-01
2017,1,9646692,2017-01-01
2017,2,9106906,2017-02-01
2017,3,10223037,2017-03-01
2017,4,9973571,2017-04-01
2017,5,10030136,2017-05-01
2017,6,9586731,2017-06-01
2017,7,8523679,2017-07-01
2017,8,8359008,2017-08-01
2017,9,8865335,2017-09-01
2017,10,9662338,2017-10-01
2017,11,9167793,2017-11-01
2017,12,9385869,2017-12-01
2018,1,8642468,2018-01-01
2018,2,8380135,2018-02-01
2018,3,9294537,2018-03-01
2018,4,9170898,2018-04-01
2018,5,9088658,2018-05-01
2018,6,8578689,2018-06-01
2018,7,7726373,2018-07-01
2018,8,7723996,2018-08-01
2018,9,7905862,2018-09-01
2018,10,8644562,2018-10-01
2018,11,7972572,2018-11-01
2018,12,7990075,2018-12-01
2019,1,7490528,2019-01-01
2019,2,6843382,2019-02-01
2019,3,7629740,2019-03-01
2019,4,7236285,2019-04-01
2019,5,7354784,2019-05-01
2019,6,6738218,2019-06-01
2019,7,6081280,2019-07-01
2019,8,5847862,2019-08-01
2019,9,6329238,2019-09-01
2019,10,6945293,2019-10-01
2019,11,6616423,2019-11-01
2019,12,6632678,2019-12-01
2020,1,6141498,2020-01-01
2020,2,6049719,2020-02-01
2020,3,2865161,2020-03-01
2020,4,205234,2020-04-01
2020,5,269677,2020-05-01
2020,6,467835,2020-06-01
2020,7,691627,2020-07-01
2020,8,884212,2020-08-01
2020,9,1196093,2020-09-01
2020,10,1513645,2020-10-01
2020,11,1356993,2020-11-01
2020,12,1311595,2020-12-01
2021,1,1220010,2021-01-01
2021,2,1224194,2021-02-01
2021,3,1727047,2021-03-01
2021,4,1963117,2021-04-01
2021,5,2290649,2021-05-01
2021,6,2603335,2021-06-01
2021,7,2581614,2021-07-01
2021,8,2539077,2021-08-01
2021,9,2692171,2021-09-01
2021,10,3196527,2021-10-01
2021,11,3218492,2021-11-01
2021,12,2991894,2021-12-01
2022,1,2301805,2022-01-01
2022,2,2771874,2022-02-01
2022,3,3380392,2022-03-01
2022,4,3353767,2022-04-01
2022,5,3324114,2022-05-01
2022,6,3290022,2022-06-01
2022,7,2946778,2022-07-01
2022,8,2937734,2022-08-01
2022,9,2945112,2022-09-01
2022,10,3399001,2022-10-01
2022,11,3018804,2022-11-01
2022,12,3140934,2022-12-01
2023,1,2884071,2023-01-01
2023,2,2732480,2023-02-01
2023,3,3190454,2023-03-01
2023,4,3077621,2023-04-01
2023,5,3281548,2023-05-01
2023,6,3084602,2023-06-01
2023,7,2712742,2023-07-01
2023,8,2628658,2023-08-01
2023,9,2604646,2023-09-01
2023,10,3243534,2023-10-01
2023,11,3091809,2023-11-01
2023,12,3076166,2023-12-01
2024,1,2723683,2024-01-01
2024,2,2719596,2024-02-01
2024,3,3035990,2024-03-01
2024,4,2987680,2024-04-01
2024,5,3192632,2024-05-01
2024,6,3006534,2024-06-01
2024,7,2683108,2024-07-01
2024,8,2603763,2024-08-01
2024,9,3024458,2024-09-01
2024,10,3302266,2024-10-01
2024,11,3146655,2024-11-01
2024,12,3200051,2024-12-01
2025,1,2815542,2025-01-01
2025,2,2656781,2025-02-01
2025,3,3079441,2025-03-01
2025,4,3058116,2025-04-01
2025,5,3191899,2025-05-01
2025,6,2910903,2025-06-01
2025,7,2673978,2025-07-01
2025,8,2511412,2025-08-01
2025,9,2989248,2025-09-01
2025,10,3239664,2025-10-01
2025,11,3001091,2025-11-01
2025,12,2946248,2025-12-01
2026,2,2,2026-02-01
2026,6,2,2026-06-01
2026,12,1,2026-12-01
