month,n_cols
2014-06,19
2014-07,19
2014-08,19
2014-09,19
2014-10,19
2014-11,19
2014-12,19
2015-01,19
2015-02,19
2015-03,19
2015-04,19
2015-05,19
2015-06,19
2015-07,19
2015-08,19
2015-09,19
2015-10,19
2015-11,19
2015-12,19
2016-01,19
2016-02,19
2016-03,19
2016-04,19
2016-05,19
2016-06,19
2016-07,19
2016-08,19
2016-09,19
2016-10,19
2016-11,19
2016-12,19
2017-01,19
2017-02,19
2017-03,19
2017-04,19
2017-05,19
2017-06,19
2017-07,19
2017-08,19
2017-09,19
2017-10,19
2017-11,19
2017-12,19
2018-01,19
2018-02,19
2018-03,19
2018-04,19
2018-05,19
2018-06,19
2018-07,19
2018-08,19
2018-09,19
2018-10,19
2018-11,19
2018-12,19
2019-01,19
2019-02,19
2019-03,19
2019-04,19
2019-05,19
2019-06,19
2019-07,19
2019-08,19
2019-09,19
2019-10,19
2019-11,19
2019-12,19
2020-01,19
2020-02,19
2020-03,19
2020-04,19
2020-05,19
2020-06,19
2020-07,19
2020-08,19
2020-09,19
2020-10,19
2020-11,19
2020-12,19
2021-01,19
2021-02,19
2021-03,19
2021-04,19
2021-05,19
2021-06,19
2021-07,19
2021-08,19
2021-09,19
2021-10,19
2021-11,19
2021-12,19
2022-01,19
2022-02,19
2022-03,19
2022-04,19
2022-05,19
2022-06,19
2022-07,19
2022-08,19
2022-09,19
2022-10,19
2022-11,19
2022-12,19
2023-01,19
2023-02,19
2023-03,19
2023-04,19
2023-05,19
2023-06,19
2023-07,19
2023-08,19
2023-09,19
2023-10,19
2023-11,19
2023-12,19
2024-01,19
2024-02,19
2024-03,19
2024-04,19
2024-05,19
2024-06,19
2024-07,19
2024-08,19
2024-09,19
2024-10,19
2024-11,19
2024-12,19
2025-01,20
2025-02,20
2025-03,20
2025-04,20
2025-05,20
2025-06,20
2025-07,20
2025-08,20
2025-09,20
2025-10,20
2025-11,20
2025-12,20
