stage,tasks,median_ms,max_ms,input_mb,shuffle_write_mb,shuffle_read_mb,skew_ratio
0,48,0.0,12,0.0,0.0,0.0,
1,1,103.0,103,0.0,0.0,0.0,1.0
2,29,2833.0,3963,0.4206838607788086,0.0027513504028320312,0.0,1.4
3,1,28.0,28,0.0,0.0,0.0027513504028320312,1.0
4,29,11018.0,14531,17.17068386077881,7765.975798606873,0.0,1.3
5,32,16250.0,59806,0.0,0.0,7765.975798606873,3.7
6,1,7.0,7,0.0,0.0,0.0,1.0
7,48,7.0,90,0.33679962158203125,0.0027008056640625,0.0,12.9
8,1,7.0,7,0.0,0.0,0.0027008056640625,1.0
9,48,407.5,687,0.33679962158203125,0.07496356964111328,0.0,1.7
10,32,11.0,43,0.0,0.0,0.07496356964111328,3.9
11,48,263.5,800,8.121634483337402,7.868124008178711,0.0,3.0
12,32,34.0,92,0.0,0.001800537109375,7.868124008178711,2.7
13,1,2.0,2,0.0,0.0,0.001800537109375,1.0
14,48,277.5,567,8.140677452087402,0.4379606246948242,0.0,2.0
15,32,17.5,29,0.0,0.001800537109375,0.4379606246948242,1.7
16,1,1.0,1,0.0,0.0,0.001800537109375,1.0
18,32,1.0,17,0.0811309814453125,0.0,0.0,17.0
20,32,4.0,11,0.0811309814453125,0.0,0.0,2.8
21,48,1165.0,3542,4.347123146057129,108.26880359649658,0.0,3.0
22,32,92.0,194,0.0,0.001800537109375,108.26880359649658,2.1
23,1,2.0,2,0.0,0.0,0.001800537109375,1.0
24,1,19.0,19,0.011759757995605469,0.0,0.0,1.0
25,1,16.0,16,0.011759757995605469,0.0,0.0,1.0
27,32,1.0,20,1.233489990234375,0.0,0.0,20.0
28,1,4.0,4,0.011759757995605469,0.0,0.0,1.0
30,32,2.0,10,1.233489990234375,0.0,0.0,5.0
31,1,8.0,8,0.011759757995605469,0.0,0.0,1.0
33,32,3.0,9,0.02307891845703125,0.0,0.0,3.0
35,32,5.0,20,0.0811309814453125,0.0,0.0,4.0
36,32,2.0,9,0.02307891845703125,0.0,0.0,4.5
37,48,1356.0,3436,4.347123146057129,17.657146453857422,0.0,2.5
38,32,46.0,85,0.0,0.0,17.657146453857422,1.8
40,32,3.5,14,1.025970458984375,0.001800537109375,0.0,4.0
41,1,4.0,4,0.0,0.0,0.001800537109375,1.0
42,1,3.0,3,0.011759757995605469,0.0,0.0,1.0
44,32,0.0,7,1.025970458984375,0.0,0.0,
45,1,5.0,5,0.011759757995605469,0.0,0.0,1.0
47,32,1.0,5,1.025970458984375,0.0,0.0,5.0
49,32,2.0,22,1.025970458984375,0.001800537109375,0.0,11.0
50,1,2.0,2,0.0,0.0,0.001800537109375,1.0
52,32,4.0,11,1.025970458984375,0.001800537109375,0.0,2.8
53,1,1.0,1,0.0,0.0,0.001800537109375,1.0
54,48,1127.0,1498,0.33679962158203125,11.583782196044922,0.0,1.3
55,32,32.0,124,0.0,0.0,11.583782196044922,3.9
56,48,52201.5,62643,0.33679962158203125,10.177873611450195,0.0,1.2
57,48,41.0,84,0.0,0.0,10.177873611450195,2.0
58,1,3.0,3,0.0,0.0,0.0,1.0
59,8,19.5,10979,0.0562591552734375,0.20736980438232422,0.0,563.0
60,8,20.5,28,0.0,0.0,0.20736980438232422,1.4
61,8,19.5,14000,0.0562591552734375,29.112424850463867,0.0,717.9
62,8,230.5,258,0.0,0.0,29.112424850463867,1.1
