pulocationid,trips,locationid,zone,borough,share
237,35442552,237,Upper East Side South,Manhattan,4.129885228301206
161,32970650,161,Midtown Center,Manhattan,3.841850902905896
236,31838033,236,Upper East Side North,Manhattan,3.7098745650388363
162,29347866,162,Midtown East,Manhattan,3.4197119404822542
186,29230080,186,Penn Station/Madison Sq West,Manhattan,3.405987120060162
230,28039520,230,Times Sq/Theatre District,Manhattan,3.2672590691735808
170,27227346,170,Murray Hill,Manhattan,3.17262182619485
234,26650513,234,Union Sq,Manhattan,3.10540730716426
48,26389416,48,Clinton East,Manhattan,3.074983407568831
142,25375979,142,Lincoln Square East,Manhattan,2.956894323687008
79,24783694,79,East Village,Manhattan,2.887879285705421
132,24463211,132,JFK Airport,Queens,2.850535529882712
163,23270092,163,Midtown North,Manhattan,2.71150929571917
138,22635764,138,LaGuardia Airport,Queens,2.6375952661341153
239,21937641,239,Upper West Side South,Manhattan,2.5562476288297438
68,21408314,68,East Chelsea,Manhattan,2.4945686685155715
107,20708195,107,Gramercy,Manhattan,2.412988450585638
164,20455450,164,Midtown South,Manhattan,2.3835377540887546
141,20354777,141,Lenox Hill West,Manhattan,2.371806997917789
249,18163993,249,West Village,Manhattan,2.1165294862984614
229,16530047,229,Sutton Place/Turtle Bay North,Manhattan,1.9261366091365169
238,16142037,238,Upper West Side North,Manhattan,1.8809243804168367
100,16105721,100,Garment District,Manhattan,1.876692718093227
90,15835863,90,Flatiron,Manhattan,1.8452479573452165
263,15693663,263,Yorkville West,Manhattan,1.8286783356242855
140,15381906,140,Lenox Hill East,Manhattan,1.7923513626365757
231,14937532,231,TriBeCa/Civic Center,Manhattan,1.7405714112820256
113,13840657,113,Greenwich Village North,Manhattan,1.6127598513302228
246,13035543,246,West Chelsea/Hudson Yards,Manhattan,1.5189452632695633
43,12373225,43,Central Park,Manhattan,1.4417697448520974
114,11929091,114,Greenwich Village South,Manhattan,1.390017759103827
148,11739008,148,Lower East Side,Manhattan,1.367868649359947
233,11351931,233,UN/Turtle Bay South,Manhattan,1.3227651369346807
264,10795460,264,,Unknown,1.2579232665502342
137,10615053,137,Kips Bay,Manhattan,1.2369016368328782
262,10437555,262,Yorkville East,Manhattan,1.2162189735683084
158,9765828,158,Meatpacking/West Village West,Manhattan,1.1379470868613046
144,9423438,144,Little Italy/NoLiTa,Manhattan,1.0980506538020247
143,9279510,143,Lincoln Square West,Manhattan,1.0812796797158772
50,7901598,50,Clinton West,Manhattan,0.9207207443802115
151,7293825,151,Manhattan Valley,Manhattan,0.8499009926066848
13,7201326,13,Battery Park City,Manhattan,0.8391226983762742
211,7191056,211,SoHo,Manhattan,0.8379260034742068
87,6188477,87,Financial District North,Manhattan,0.7211021302298368
75,5614507,75,East Harlem South,Manhattan,0.6542212175774961
125,4912901,125,Hudson Sq,Manhattan,0.5724677294119854
261,4569156,261,World Trade Center,Manhattan,0.5324134072005827
166,4242733,166,Morningside Heights,Manhattan,0.49437750262244273
88,3105343,88,Financial District South,Manhattan,0.3618449987604886
74,2846842,74,East Harlem North,Manhattan,0.3317235938063225
41,2802379,41,Central Harlem,Manhattan,0.32654261567286424
24,2499600,24,Bloomingdale,Manhattan,0.2912617894067474
224,2191572,224,Stuy Town/Peter Cooper Village,Manhattan,0.255369332026614
4,2037967,4,Alphabet City,Manhattan,0.23747076139058282
45,1773961,45,Chinatown,Manhattan,0.20670789534236803
209,1630699,209,Seaport,Manhattan,0.19001452581364764
232,1523607,232,Two Bridges/Seward Park,Manhattan,0.17753580619805018
7,1311464,7,Astoria,Queens,0.1528161911435952
226,1268120,226,Sunnyside,Queens,0.1477656026494177
42,1222957,42,Central Harlem North,Manhattan,0.14250305816430933
255,1188013,255,Williamsburg (North Side),Brooklyn,0.13843126588993368
65,1038639,65,Downtown Brooklyn/MetroTech,Brooklyn,0.12102570558794797
256,971169,256,Williamsburg (South Side),Brooklyn,0.1131638745224682
181,930780,181,Park Slope,Brooklyn,0.10845761255561384
116,892184,116,Hamilton Heights,Manhattan,0.1039602769723434
33,866094,33,Brooklyn Heights,Brooklyn,0.1009201825229827
146,836521,146,Long Island City/Queens Plaza,Queens,0.0974742372124827
145,815430,145,Long Island City/Hunters Point,Queens,0.09501664303726359
25,800452,25,Boerum Hill,Brooklyn,0.0932713561586693
244,795542,244,Washington Heights South,Manhattan,0.09269922646352323
70,781404,70,East Elmhurst,Queens,0.09105181920690913
152,771010,152,Manhattanville,Manhattan,0.08984067540826386
97,755906,97,Fort Greene,Brooklyn,0.08808070658637254
80,528968,80,East Williamsburg,Brooklyn,0.06163712842811185
223,485735,223,Steinway,Queens,0.05659947402683888
112,482132,112,Greenpoint,Brooklyn,0.05617964036255959
179,469592,179,Old Astoria,Queens,0.05471843743442684
52,452499,52,Cobble Hill,Brooklyn,0.0527267036504896
40,447517,40,Carroll Gardens,Brooklyn,0.05214618427345951
260,438372,260,Woodside,Queens,0.05108057815083
129,436938,129,Jackson Heights,Queens,0.050913483653306696
66,386540,66,DUMBO/Vinegar Hill,Brooklyn,0.04504093938121465
12,361066,12,Battery Park,Manhattan,0.042072623321306075
49,321136,49,Clinton Hill,Brooklyn,0.03741984557646233
37,290552,37,Bushwick South,Brooklyn,0.03385609514950763
193,262080,193,Queensbridge/Ravenswood,Queens,0.030538442057817396
17,252053,17,Bedford,Brooklyn,0.0293700623321087
61,249890,61,Crown Heights North,Brooklyn,0.02911802230550973
189,240083,189,Prospect Heights,Brooklyn,0.027975277718891082
82,235587,82,Elmhurst,Queens,0.027451388694578097
265,235070,265,Outside of NYC,,0.02739114611771648
10,197584,10,Baisley Park,Queens,0.023023151463491272
243,163534,243,Washington Heights North,Manhattan,0.019055531072508815
93,146816,93,Flushing Meadows-Corona Park,Queens,0.017107493548384152
36,145400,36,Bushwick North,Brooklyn,0.016942496471331843
168,140999,168,Mott Haven/Port Morris,Bronx,0.01642967716617138
106,137288,106,Gowanus,Brooklyn,0.015997258979066068
95,135420,95,Forest Hills,Queens,0.01577959334351966
188,128622,188,Prospect-Lefferts Gardens,Brooklyn,0.01498746754563717
225,124840,225,Stuyvesant Heights,Brooklyn,0.01454677620000734
247,120215,247,West Concourse,Bronx,0.014007855662318826
89,108392,89,Flatbush/Ditmas Park,Brooklyn,0.01263019998294774
83,102211,83,Elmhurst/Maspeth,Queens,0.011909969097876885
130,96950,130,Jamaica,Queens,0.011296939703546232
216,94748,216,South Ozone Park,Queens,0.011040355265926751
228,89834,228,Sunset Park West,Brooklyn,0.010467759477342674
215,79817,215,South Jamaica,Queens,0.009300544985228979
127,79730,127,Inwood,Manhattan,0.009290407452952463
76,77544,76,East New York,Brooklyn,0.009035687389084982
196,76736,196,Rego Park,Queens,0.008941536514608805
195,76032,195,Red Hook,Brooklyn,0.00885950406952065
217,75034,217,South Williamsburg,Brooklyn,0.008743213756739433
28,68496,28,Briarwood/Jamaica Hills,Queens,0.007981384032327002
219,61311,219,Springfield Gardens South,Queens,0.007144163694317928
62,57304,62,Crown Heights South,Brooklyn,0.00667725459280055
134,55844,134,Kew Gardens,Queens,0.006507130487930231
159,53643,159,Melrose South,Bronx,0.006250662573670248
197,52492,197,Richmond Hill,Queens,0.006116544186885496
14,52373,14,Bay Ridge,Brooklyn,0.00610267790710497
157,51377,157,Maspeth,Queens,0.005986620641042752
194,50482,194,Randalls Island,Manhattan,0.005882332234290056
69,50151,69,East Concourse/Concourse Village,Bronx,0.005843763002295483
39,49279,39,Canarsie,Brooklyn,0.005742154632811292
202,46507,202,Roosevelt Island,Manhattan,0.005419151880276685
35,44438,35,Brownsville,Brooklyn,0.005178065049470732
133,43623,133,Kensington,Brooklyn,0.005083098511478054
92,42972,92,Flushing,Queens,0.005007241804443411
